GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.018092;0.050693;0.011727;0.000225;
0.010382;0.020711;0.009181;0.051276;
0.009887;0.022450;0.011804;0.072038;
0.011350;0.021514;0.009188;0.094521;
0.009351;0.019675;0.009583;0.116075;
0.009602;0.019483;0.009141;0.135782;
0.009162;0.021409;0.011768;0.155608;
0.007337;0.019479;0.011357;0.177615;
0.008139;0.017904;0.009247;0.197607;
0.009307;0.019090;0.009143;0.215560;
0.009177;0.019103;0.009171;0.234701;
0.007168;0.018961;0.011270;0.258648;
0.007525;0.018636;0.010563;0.277652;
0.008253;0.018021;0.009239;0.296321;
0.008081;0.017878;0.009077;0.314383;
0.008055;0.017772;0.009126;0.332293;
0.008066;0.017892;0.009141;0.350093;
0.007980;0.017809;0.009061;0.368013;
0.007887;0.017824;0.009305;0.385850;
0.008110;0.017697;0.009092;0.403730;
0.008023;0.018851;0.010313;0.421464;
0.007484;0.018055;0.010123;0.440351;
0.007519;0.018010;0.010037;0.458447;
0.007505;0.018025;0.010041;0.476499;
0.008462;0.018086;0.009075;0.494565;
0.007520;0.017102;0.009076;0.512685;
0.008012;0.017686;0.008983;0.529819;
0.007804;0.017671;0.009176;0.547551;
0.008214;0.017801;0.008997;0.565274;
0.008016;0.017847;0.009094;0.583104;
0.008044;0.018010;0.009223;0.600986;
0.008191;0.018723;0.009797;0.619027;
0.007528;0.019128;0.011076;0.637826;
0.007529;0.020181;0.012020;0.656997;
0.007621;0.019034;0.010934;0.677212;
0.009171;0.018640;0.009017;0.696276;
0.008270;0.018031;0.009195;0.714945;
0.007970;0.017637;0.009134;0.733004;
0.008114;0.017785;0.009085;0.750671;
0.008086;0.017746;0.009134;0.768488;
0.008135;0.017877;0.009211;0.786262;
0.008151;0.017879;0.009112;0.804167;
0.008017;0.018459;0.009981;0.822077;
0.007440;0.017974;0.010021;0.840573;
0.007644;0.018353;0.010139;0.858580;
0.007508;0.018087;0.010057;0.876962;
0.007579;0.018114;0.010002;0.895076;
0.007529;0.017165;0.009124;0.913219;
0.007999;0.017576;0.009012;0.930412;
0.007858;0.017486;0.009118;0.948027;
0.008080;0.017804;0.009205;0.965542;
0.007990;0.018016;0.009195;0.983373;
0.007761;0.017388;0.009086;1.001418;
0.008005;0.017615;0.009076;1.018835;
0.008156;0.017833;0.009158;1.036477;
0.008032;0.017736;0.009103;1.054338;
0.007997;0.018590;0.010065;1.072103;
0.007441;0.018096;0.010117;1.090733;
0.007499;0.018115;0.010099;1.108897;
0.007660;0.018276;0.010054;1.127040;
0.007472;0.017919;0.009992;1.145353;
0.007555;0.017192;0.009191;1.163313;
0.007875;0.017619;0.009090;1.180538;
0.007991;0.017713;0.009142;1.198188;
0.008020;0.017516;0.009029;1.215933;
0.008123;0.017726;0.009124;1.233485;
0.008083;0.017869;0.009218;1.251243;
0.008008;0.017744;0.009051;1.269139;
0.008066;0.017662;0.009081;1.286912;
0.007994;0.017739;0.009158;1.304602;
0.008112;0.018277;0.009632;1.322378;
0.007506;0.018127;0.010032;1.340690;
0.007540;0.018162;0.010068;1.358846;
0.007524;0.018248;0.010067;1.377036;
0.007507;0.018140;0.010133;1.395315;
0.007635;0.017263;0.009118;1.413492;
0.008576;0.018234;0.009126;1.430800;
0.008079;0.017786;0.009100;1.449066;
0.008009;0.017550;0.009058;1.466898;
0.008140;0.017668;0.009041;1.484476;
0.008205;0.017938;0.009144;1.502172;
0.007981;0.017581;0.009113;1.520138;
0.008226;0.017886;0.009072;1.537760;
0.007818;0.017505;0.009141;1.555682;
0.008082;0.018639;0.010025;1.573215;
0.007432;0.018081;0.010041;1.591891;
0.007564;0.018093;0.010034;1.610007;
0.007513;0.018220;0.010137;1.628129;
0.007503;0.017967;0.010013;1.646383;
0.007534;0.017264;0.009165;1.664378;
0.007641;0.017216;0.009101;1.681681;
0.008079;0.017738;0.009073;1.698945;
0.008047;0.017563;0.009061;1.716731;
0.008240;0.017944;0.009109;1.734324;
0.007976;0.017796;0.009211;1.752298;
0.007920;0.017568;0.009124;1.770122;
0.008060;0.017880;0.009190;1.787721;
0.007962;0.017617;0.009096;1.805634;
0.008070;0.018639;0.010037;1.823290;
0.007375;0.018094;0.010185;1.841959;
0.007582;0.018167;0.010080;1.860170;
0.007442;0.018005;0.010047;1.878374;
0.007534;0.018000;0.010011;1.896412;
0.007650;0.017383;0.009138;1.914439;
0.008016;0.017562;0.009103;1.931850;
0.008215;0.017919;0.009161;1.949440;
0.008121;0.017934;0.009009;1.967388;
0.008493;0.018185;0.009088;1.985366;
0.008114;0.017862;0.009293;2.003590;
0.008103;0.017786;0.009196;2.021480;
0.008058;0.017637;0.009058;2.039294;
0.007994;0.018440;0.009867;2.056960;
0.007599;0.018225;0.010099;2.075445;
0.007571;0.018138;0.010065;2.093698;
0.007428;0.018043;0.010063;2.111864;
0.007503;0.018189;0.010117;2.129942;
0.007632;0.017331;0.009189;2.148170;
0.008076;0.017829;0.009217;2.165530;
0.008017;0.017630;0.009088;2.183396;
0.008001;0.017664;0.009095;2.201058;
0.007969;0.017682;0.009177;2.218767;
0.007931;0.017955;0.009556;2.236486;
0.008118;0.017604;0.009016;2.254474;
0.008191;0.017744;0.009029;2.272106;
0.008092;0.017735;0.009037;2.289877;
0.008043;0.018623;0.010096;2.307641;
0.007447;0.018011;0.010047;2.326301;
0.007535;0.018143;0.010060;2.344375;
0.007493;0.018066;0.010047;2.362550;
0.007565;0.018117;0.010029;2.380645;
0.007538;0.017287;0.009163;2.398789;
0.008033;0.017675;0.009123;2.416106;
0.008008;0.017793;0.009207;2.433818;
0.008064;0.017764;0.009201;2.451643;
0.008107;0.017694;0.009069;2.469444;
0.008085;0.017659;0.009023;2.487170;
0.008078;0.017711;0.009080;2.504872;
0.008007;0.017555;0.009085;2.522610;
0.008120;0.017758;0.009129;2.540197;
0.008078;0.018505;0.009961;2.557984;
0.007531;0.018068;0.010049;2.576517;
0.007643;0.018260;0.010031;2.594612;
0.007427;0.018032;0.010100;2.612905;
0.007584;0.018175;0.010073;2.630972;
0.007529;0.017388;0.009254;2.649175;
0.008104;0.017958;0.009182;2.666592;
0.007971;0.017752;0.009184;2.684587;
0.007939;0.017676;0.009144;2.702372;
0.008082;0.017848;0.009136;2.720076;
0.007945;0.017606;0.009135;2.737956;
0.007952;0.017448;0.009020;2.755590;
0.008255;0.017892;0.009109;2.773066;
0.008034;0.017667;0.009086;2.790992;
0.007994;0.018625;0.010100;2.808687;
0.007570;0.018158;0.010037;2.827355;
0.007482;0.017986;0.010008;2.845555;
0.007438;0.017975;0.010098;2.863581;
0.007528;0.018087;0.010046;2.881588;
0.007482;0.017298;0.009163;2.899719;
0.008014;0.017729;0.009169;2.917051;
0.007989;0.017531;0.009050;2.934832;
0.008187;0.017800;0.009084;2.952400;
0.008224;0.017836;0.009052;2.970228;
0.007996;0.017449;0.009038;2.988094;
0.008271;0.018159;0.009243;3.005572;
0.008002;0.017658;0.009132;3.023767;
0.008096;0.017835;0.009222;3.041454;
0.008046;0.018747;0.010074;3.059316;
0.007654;0.018229;0.010030;3.078091;
0.007515;0.017972;0.009998;3.096357;
0.007505;0.018117;0.010052;3.114370;
0.007527;0.018081;0.010101;3.132520;
0.007541;0.017540;0.009180;3.150628;
0.007876;0.017385;0.009065;3.168203;
0.008085;0.017754;0.009112;3.185621;
0.008170;0.017766;0.009125;3.203421;
0.008115;0.017800;0.009156;3.221215;
0.008026;0.017543;0.009113;3.239048;
0.008161;0.017934;0.009178;3.256621;
0.008135;0.017786;0.009202;3.274584;
0.009066;0.019674;0.010043;3.292397;
0.007547;0.018072;0.010014;3.312099;
0.007550;0.018065;0.010048;3.330199;
0.007508;0.018180;0.010166;3.348300;
0.008139;0.018476;0.009742;3.366514;
0.007596;0.017225;0.009134;3.385019;
0.008164;0.018175;0.009167;3.402272;
0.007874;0.017422;0.009058;3.420476;
0.007998;0.017467;0.008963;3.437927;
0.008131;0.017702;0.009062;3.455424;
0.007949;0.017574;0.009104;3.473186;
0.007992;0.017712;0.009213;3.490791;
0.008129;0.017957;0.009285;3.508542;
0.008040;0.018544;0.010026;3.526526;
0.007513;0.017962;0.009994;3.545097;
0.007469;0.018069;0.010162;3.563087;
0.007483;0.018061;0.010055;3.581265;
0.007685;0.018214;0.010015;3.599362;
0.007566;0.017376;0.009167;3.617610;
0.008718;0.018422;0.009192;3.635014;
0.008000;0.017831;0.009125;3.653463;
0.008101;0.017916;0.009239;3.671326;
0.007998;0.017686;0.009030;3.689272;
0.007990;0.017679;0.009136;3.706987;
0.008065;0.017895;0.009298;3.724694;
0.008105;0.017694;0.009048;3.742620;
0.008004;0.018583;0.010033;3.760343;
0.007607;0.018262;0.010160;3.778955;
0.007548;0.018111;0.010037;3.797245;
0.007546;0.018051;0.010038;3.815386;
