GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.020211;0.053520;0.012722;0.000234;
0.012937;0.024712;0.010436;0.053914;
0.010581;0.023768;0.012384;0.078668;
0.010665;0.021514;0.009975;0.102474;
0.009952;0.021044;0.010255;0.124030;
0.009515;0.022371;0.012161;0.145290;
0.009106;0.019584;0.009775;0.168289;
0.009106;0.019677;0.009899;0.188293;
0.009835;0.020127;0.009795;0.208006;
0.009873;0.022612;0.012075;0.228162;
0.007824;0.018242;0.009796;0.256316;
0.009207;0.020071;0.010219;0.274619;
0.009017;0.020316;0.010795;0.294721;
0.008639;0.019934;0.010756;0.315083;
0.008062;0.018435;0.009772;0.335055;
0.008557;0.018729;0.009758;0.353526;
0.008611;0.019281;0.009850;0.372287;
0.008301;0.018918;0.010128;0.391601;
0.008882;0.020239;0.010893;0.410549;
0.008112;0.019638;0.010999;0.430818;
0.007979;0.019153;0.010701;0.450504;
0.008139;0.018324;0.009739;0.469695;
0.008645;0.019057;0.009866;0.488052;
0.008506;0.018738;0.009785;0.507145;
0.008630;0.019041;0.009887;0.525917;
0.008564;0.020010;0.010936;0.544986;
0.008126;0.019869;0.011198;0.565026;
0.009189;0.019871;0.009767;0.584924;
0.008174;0.018948;0.009905;0.604833;
0.008249;0.019079;0.010144;0.623861;
0.008799;0.020067;0.010713;0.642970;
0.008803;0.021186;0.011851;0.663066;
0.008112;0.019918;0.011167;0.684282;
0.008544;0.018839;0.009736;0.704231;
0.008639;0.018946;0.009788;0.723102;
0.008517;0.018751;0.009745;0.742077;
0.008586;0.019978;0.010744;0.760857;
0.007978;0.019372;0.010824;0.780866;
0.008219;0.019421;0.010710;0.800274;
0.008172;0.018596;0.009786;0.819735;
0.008580;0.019059;0.009868;0.838361;
0.008484;0.018846;0.009898;0.857452;
0.008530;0.019079;0.009799;0.876337;
0.008437;0.019709;0.010781;0.895463;
0.008113;0.019334;0.010727;0.915210;
0.008049;0.019380;0.010719;0.934572;
0.008094;0.018410;0.009827;0.953989;
0.008543;0.018898;0.009772;0.972439;
0.008563;0.018962;0.009789;0.991380;
0.008459;0.018843;0.009866;1.010405;
0.008643;0.019895;0.010750;1.029283;
0.008111;0.019448;0.010817;1.049207;
0.008860;0.019041;0.009706;1.068682;
0.008179;0.018463;0.009792;1.087752;
0.008650;0.018961;0.009869;1.106246;
0.008633;0.018966;0.009775;1.125238;
0.008676;0.018891;0.009736;1.144233;
0.008665;0.020049;0.010862;1.163160;
0.008026;0.019322;0.010815;1.183251;
0.008029;0.018446;0.009861;1.202605;
0.008581;0.018913;0.009830;1.221079;
0.008569;0.019048;0.009825;1.240020;
0.008523;0.018768;0.009749;1.259103;
0.008592;0.019073;0.009883;1.277899;
0.008514;0.019926;0.010834;1.297015;
0.008017;0.019390;0.010813;1.316984;
0.008056;0.018322;0.009756;1.336426;
0.008601;0.018972;0.009772;1.354815;
0.008480;0.018937;0.009928;1.373824;
0.008543;0.019072;0.009911;1.392796;
0.008522;0.019763;0.010561;1.411897;
0.007984;0.019417;0.010867;1.431691;
0.008203;0.019647;0.010817;1.451145;
0.008058;0.018457;0.009900;1.470837;
0.008562;0.018776;0.009748;1.489343;
0.008656;0.019102;0.009895;1.508152;
0.008525;0.018702;0.009720;1.527292;
0.008639;0.019812;0.010719;1.546029;
0.008089;0.019344;0.010762;1.565872;
0.007987;0.019309;0.010794;1.585253;
0.008094;0.018244;0.009742;1.604597;
0.008672;0.019108;0.009805;1.622871;
0.008520;0.018950;0.009791;1.642018;
0.008478;0.018940;0.009692;1.661003;
0.008327;0.019629;0.010804;1.679972;
0.008034;0.019359;0.010795;1.699630;
0.008070;0.019217;0.010657;1.719026;
0.008067;0.018501;0.009834;1.738284;
0.008618;0.019109;0.009891;1.756820;
