GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.019345;0.056077;0.013419;0.000242;
0.010718;0.025259;0.013206;0.056882;
0.011296;0.023017;0.010756;0.082184;
0.010536;0.021992;0.010476;0.105245;
0.010556;0.024760;0.013451;0.127266;
0.009686;0.021027;0.010499;0.152421;
0.009212;0.022670;0.012557;0.174405;
0.008487;0.021745;0.012468;0.197427;
0.009978;0.021171;0.010515;0.219215;
0.010318;0.024203;0.013163;0.240416;
0.008363;0.019659;0.010598;0.270399;
0.009555;0.021650;0.011516;0.290100;
0.008532;0.020504;0.011467;0.311792;
0.008606;0.019685;0.010605;0.332325;
0.009083;0.020151;0.010553;0.352038;
0.009100;0.020152;0.010533;0.372219;
0.009101;0.021245;0.011556;0.392398;
0.008553;0.020985;0.011878;0.413673;
0.009123;0.020305;0.010617;0.434686;
0.008984;0.020002;0.010556;0.455020;
0.009126;0.021210;0.011552;0.475053;
0.008541;0.020397;0.011339;0.496295;
0.008638;0.020054;0.010582;0.516720;
0.008693;0.020110;0.010769;0.536808;
0.009260;0.021051;0.011251;0.556948;
0.008484;0.020959;0.011684;0.578030;
0.008559;0.020261;0.011115;0.599024;
0.009420;0.020868;0.010714;0.619323;
0.010149;0.022846;0.012124;0.640221;
0.008609;0.021247;0.012139;0.663097;
0.009177;0.020237;0.010439;0.684372;
0.009051;0.020159;0.010484;0.704647;
0.008973;0.020954;0.011445;0.724837;
0.008520;0.020555;0.011507;0.745825;
0.008623;0.019648;0.010600;0.766436;
0.009156;0.020093;0.010514;0.786113;
0.009324;0.020512;0.010588;0.806236;
0.009058;0.021100;0.011465;0.826777;
0.008642;0.020560;0.011422;0.847905;
0.008554;0.019519;0.010526;0.868511;
0.009233;0.020360;0.010564;0.888059;
0.009035;0.021055;0.011441;0.908453;
0.008449;0.020439;0.011480;0.929539;
0.008585;0.019691;0.010494;0.950016;
0.009076;0.020123;0.010573;0.969745;
0.009224;0.020307;0.010558;0.989904;
0.009282;0.021262;0.011452;1.010239;
0.008543;0.020527;0.011488;1.031532;
0.008693;0.019800;0.010617;1.052091;
0.009097;0.020065;0.010453;1.071931;
0.009160;0.021141;0.011503;1.092028;
0.008602;0.020762;0.011444;1.113199;
0.008614;0.019931;0.010613;1.133993;
0.008955;0.020026;0.010505;1.153953;
0.009223;0.020242;0.010536;1.174007;
0.009097;0.021252;0.011479;1.194277;
0.008469;0.020548;0.011568;1.215562;
0.008574;0.019721;0.010562;1.236140;
0.009052;0.020185;0.010507;1.255891;
0.009083;0.021214;0.011615;1.276104;
0.008661;0.020688;0.011478;1.297346;
0.008468;0.019694;0.010570;1.318066;
0.009008;0.020108;0.010530;1.337793;
0.009002;0.020111;0.010473;1.357932;
0.008940;0.020895;0.011508;1.378076;
0.008523;0.020411;0.011417;1.399000;
0.008680;0.019626;0.010529;1.419441;
0.009211;0.020333;0.010659;1.439097;
0.009175;0.021087;0.011346;1.459460;
0.008569;0.020523;0.011429;1.480579;
