GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.014645;0.040243;0.004894;0.001332;
0.005528;0.013601;0.006821;0.043271;
0.005481;0.013459;0.007203;0.057193;
0.005184;0.010679;0.004750;0.070741;
0.006132;0.012049;0.005191;0.081449;
0.004570;0.012713;0.007555;0.093527;
0.004551;0.010123;0.004908;0.106300;
0.005930;0.011490;0.004983;0.122217;
0.006755;0.012238;0.004848;0.133745;
0.007436;0.012830;0.004882;0.146012;
0.004421;0.012544;0.007615;0.158879;
0.004392;0.010285;0.005187;0.171458;
0.006509;0.011729;0.004777;0.181776;
0.004436;0.012604;0.007599;0.193541;
0.004457;0.009880;0.004930;0.206187;
0.006087;0.011441;0.004827;0.216100;
0.004540;0.012237;0.007170;0.227571;
0.004447;0.009996;0.004845;0.239836;
0.006147;0.011359;0.004783;0.249861;
0.004403;0.012279;0.007388;0.261262;
0.004434;0.009742;0.004784;0.273602;
0.005720;0.010937;0.004740;0.283372;
0.005639;0.010924;0.004774;0.294347;
0.004473;0.009706;0.004800;0.305330;
0.005094;0.010881;0.005339;0.315078;
0.004421;0.010656;0.005745;0.326000;
0.005196;0.010380;0.004738;0.336689;
0.005156;0.010566;0.004850;0.347097;
0.004497;0.010940;0.005857;0.357694;
0.004408;0.009782;0.004828;0.368666;
0.006000;0.011305;0.004894;0.378477;
0.004485;0.009765;0.004711;0.389812;
0.004942;0.010454;0.004974;0.399606;
0.004453;0.010715;0.005721;0.410097;
0.004600;0.010076;0.004805;0.420846;
0.004792;0.010026;0.004838;0.430959;
0.004502;0.010822;0.005728;0.441018;
0.004461;0.009810;0.004929;0.451878;
0.006023;0.011245;0.004767;0.461722;
0.004553;0.009910;0.004840;0.473004;
0.005060;0.011115;0.005144;0.482947;
0.004394;0.010828;0.005813;0.494092;
0.004598;0.009949;0.004830;0.504950;
0.005265;0.010736;0.004914;0.514931;
0.004511;0.010881;0.005800;0.525698;
0.004478;0.009678;0.004759;0.536609;
0.005365;0.011043;0.004978;0.546315;
0.004466;0.011222;0.005942;0.557409;
0.004329;0.009749;0.004828;0.568663;
0.005678;0.011074;0.004880;0.578460;
0.004480;0.010133;0.004850;0.589563;
0.006636;0.012120;0.004862;0.599728;
0.006933;0.012306;0.004894;0.611881;
0.004405;0.009828;0.004921;0.624216;
0.005149;0.010683;0.004981;0.634072;
0.005309;0.010901;0.004905;0.644785;
0.004536;0.009883;0.004825;0.655716;
0.005004;0.010253;0.004816;0.665628;
0.004470;0.010704;0.005728;0.675908;
0.004546;0.009798;0.004777;0.686641;
0.005085;0.010470;0.004893;0.696470;
0.004424;0.009904;0.004987;0.706977;
0.005108;0.010303;0.004800;0.716917;
0.004463;0.010714;0.005800;0.727249;
0.004591;0.009864;0.004778;0.738004;
0.005073;0.010483;0.004906;0.747896;
0.004543;0.010719;0.005799;0.758410;
0.004450;0.009713;0.004735;0.769157;
0.006095;0.011353;0.004800;0.778906;
0.004445;0.009807;0.004819;0.790329;
0.004952;0.010293;0.004812;0.800174;
0.004543;0.010898;0.005796;0.810503;
0.004516;0.009919;0.004834;0.821432;
0.005067;0.010400;0.004859;0.831379;
0.004516;0.010753;0.005766;0.841816;
0.004462;0.009637;0.004791;0.852602;
0.006045;0.011426;0.004828;0.862272;
0.004432;0.009767;0.004883;0.873734;
0.005146;0.010321;0.004803;0.883536;
0.004501;0.010898;0.005820;0.893887;
0.004513;0.009940;0.004882;0.904821;
0.004982;0.010242;0.004863;0.914796;
0.004644;0.010905;0.005692;0.925067;
0.004472;0.009927;0.004914;0.936009;
0.006016;0.011249;0.004835;0.945977;
0.004526;0.009879;0.004814;0.957259;
0.005055;0.010483;0.004910;0.967167;
0.004606;0.010879;0.005744;0.977678;
0.004536;0.009870;0.004810;0.988587;
0.004946;0.010327;0.004826;0.998486;
0.004514;0.010804;0.005760;1.008844;
0.004503;0.009965;0.004892;1.019676;
0.005925;0.011302;0.004918;1.029670;
0.004497;0.009795;0.004768;1.041008;
0.005012;0.010215;0.004808;1.050836;
0.004463;0.010767;0.005773;1.061081;
0.004524;0.009852;0.004795;1.071876;
0.004970;0.010208;0.004750;1.081756;
0.004372;0.010669;0.005817;1.092001;
0.004425;0.009856;0.004933;1.102712;
0.005029;0.010324;0.004849;1.112609;
0.004366;0.009678;0.004765;1.122974;
0.004927;0.010151;0.004788;1.132685;
0.004395;0.010654;0.005701;1.142872;
0.004531;0.009789;0.004776;1.153564;
0.006073;0.011440;0.004842;1.163388;
0.004469;0.009821;0.004916;1.174865;
0.005143;0.010378;0.004767;1.184721;
0.006125;0.011539;0.004869;1.195144;
0.004564;0.010020;0.004899;1.206718;
0.005037;0.010331;0.004781;1.216767;
0.004368;0.010552;0.005768;1.227134;
0.004510;0.009954;0.004843;1.237739;
0.004896;0.010167;0.004874;1.247722;
0.004504;0.009698;0.004747;1.257917;
0.005084;0.010251;0.004780;1.267642;
0.004531;0.010930;0.005965;1.277933;
0.004487;0.009800;0.004807;1.288894;
0.004946;0.010233;0.004825;1.298723;
0.004453;0.010733;0.005832;1.308992;
0.004582;0.009861;0.004753;1.319759;
0.005410;0.011077;0.005146;1.329658;
0.004463;0.009986;0.004895;1.340768;
0.005029;0.010380;0.004871;1.350783;
0.004448;0.010722;0.005810;1.361199;
0.004448;0.009809;0.004806;1.371955;
0.004918;0.010259;0.004917;1.381793;
0.004513;0.009901;0.004887;1.392095;
0.004977;0.010349;0.004780;1.402023;
0.004426;0.010637;0.005755;1.412402;
0.004412;0.009787;0.004832;1.423071;
