GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.023971;0.065269;0.018622;0.000249;
0.013800;0.033286;0.018176;0.065612;
0.014380;0.033372;0.018128;0.098933;
0.013942;0.033158;0.018187;0.132361;
0.012589;0.031325;0.018077;0.166231;
0.012620;0.030712;0.017318;0.198232;
0.012971;0.031306;0.017773;0.229214;
0.013762;0.032324;0.017797;0.260556;
0.011774;0.028975;0.016472;0.299241;
0.012085;0.028949;0.016333;0.328279;
0.012231;0.028578;0.015490;0.357260;
0.012339;0.029842;0.016715;0.385871;
0.012193;0.029485;0.016544;0.415742;
0.012282;0.029273;0.016452;0.445256;
0.012253;0.028243;0.015458;0.474559;
0.012877;0.029836;0.016375;0.502834;
0.012065;0.028973;0.016312;0.532699;
0.012165;0.029688;0.016423;0.561708;
0.012133;0.028559;0.015806;0.591436;
0.012855;0.030045;0.016498;0.620024;
0.014114;0.030626;0.015771;0.650100;
0.012171;0.029660;0.016799;0.680758;
0.014126;0.031675;0.016976;0.710451;
0.012640;0.028559;0.015499;0.742157;
0.013761;0.030232;0.015926;0.770744;
0.012226;0.029214;0.016438;0.801005;
0.012660;0.029523;0.016384;0.830259;
0.012145;0.029263;0.016307;0.859812;
0.012104;0.027969;0.015341;0.889112;
0.012647;0.029673;0.016382;0.917109;
0.012143;0.029083;0.016399;0.946814;
0.012222;0.028122;0.015386;0.975924;
0.012690;0.029622;0.016343;1.004075;
0.012060;0.028953;0.016412;1.033733;
0.012196;0.029213;0.016408;1.062719;
0.012141;0.028237;0.015547;1.091964;
0.012536;0.029472;0.016454;1.120243;
0.012160;0.029126;0.016406;1.149749;
0.012170;0.029060;0.016374;1.178913;
0.012074;0.028029;0.015436;1.208014;
0.012689;0.029649;0.016400;1.236084;
0.012054;0.028931;0.016331;1.265771;
0.012193;0.029217;0.016424;1.294732;
0.012101;0.028090;0.015481;1.323986;
0.012779;0.029765;0.016378;1.352110;
0.012056;0.029032;0.016454;1.381906;
0.012194;0.029324;0.016577;1.410965;
0.012130;0.028305;0.015418;1.440324;
0.012406;0.029425;0.016543;1.468667;
0.012215;0.029077;0.016341;1.498136;
0.012338;0.028427;0.015484;1.527254;
0.013507;0.029687;0.015581;1.555716;
0.011975;0.028883;0.016432;1.585432;
0.011996;0.028965;0.016407;1.614358;
0.012080;0.028057;0.015427;1.643392;
0.012527;0.029439;0.016403;1.671491;
0.012192;0.029009;0.016379;1.700966;
0.012070;0.029055;0.016445;1.730006;
0.012118;0.028107;0.015509;1.759096;
0.012669;0.029511;0.016341;1.787245;
0.012074;0.028903;0.016398;1.816791;
0.012145;0.029076;0.016440;1.845723;
0.012143;0.028318;0.015597;1.874829;
0.012537;0.029569;0.016437;1.903179;
0.012089;0.029063;0.016509;1.932783;
0.012240;0.029346;0.016584;1.961875;
0.012112;0.028262;0.015517;1.991249;
0.012520;0.029507;0.016400;2.019539;
0.012211;0.029050;0.016332;2.049079;
0.012129;0.027998;0.015432;2.078161;
0.012738;0.029655;0.016467;2.106189;
0.012149;0.029031;0.016443;2.135875;
0.012157;0.029396;0.016777;2.164936;
0.012071;0.028159;0.015436;2.194367;
0.012421;0.029371;0.016476;2.222564;
0.012086;0.029013;0.016433;2.251966;
0.012226;0.029019;0.016302;2.281007;
0.012151;0.028425;0.015584;2.310054;
0.012509;0.029621;0.016495;2.338509;
0.011993;0.028825;0.016316;2.368170;
0.012287;0.029158;0.016368;2.397032;
0.012165;0.028416;0.015613;2.426217;
0.012636;0.029588;0.016416;2.454663;
0.012048;0.029328;0.016457;2.484289;
0.012021;0.028903;0.016311;2.513670;
0.012099;0.028252;0.015451;2.542612;
0.012480;0.029420;0.016409;2.570905;
0.012083;0.028875;0.016346;2.600362;
0.012238;0.028218;0.015394;2.629276;
0.013261;0.029235;0.015366;2.657531;
0.013277;0.029994;0.016162;2.686805;
0.012045;0.028930;0.016385;2.716827;
0.012152;0.028138;0.015521;2.745784;
0.012601;0.029401;0.016311;2.773949;
0.012259;0.029096;0.016282;2.803395;
0.012117;0.029008;0.016375;2.832528;
0.012173;0.028254;0.015518;2.861573;
0.012589;0.029329;0.016236;2.889856;
0.012169;0.029106;0.016392;2.919214;
0.011942;0.028865;0.016400;2.948359;
0.012272;0.028360;0.015534;2.977260;
0.012562;0.029557;0.016377;3.005648;
0.012175;0.029001;0.016344;3.035242;
0.012207;0.028639;0.015989;3.064288;
0.012276;0.028388;0.015554;3.092958;
0.012575;0.029593;0.016462;3.121374;
0.013257;0.030231;0.016451;3.151004;
0.012180;0.029060;0.016443;3.181278;
0.012087;0.028165;0.015468;3.210373;
0.012484;0.029322;0.016310;3.238595;
0.011937;0.028865;0.016508;3.267970;
0.012119;0.028413;0.015552;3.296867;
0.012419;0.029353;0.016363;3.325330;
0.011984;0.028905;0.016327;3.354717;
0.012088;0.028992;0.016341;3.383666;
0.012130;0.028328;0.015614;3.412685;
0.012543;0.029397;0.016355;3.441041;
0.012087;0.029386;0.016486;3.470466;
0.012035;0.028928;0.016320;3.499887;
0.012054;0.028605;0.015984;3.528847;
0.012515;0.029380;0.016353;3.557480;
0.012078;0.028984;0.016288;3.586890;
0.012124;0.028698;0.016032;3.615903;
0.012105;0.028073;0.015384;3.644629;
0.012509;0.029410;0.016361;3.672730;
0.012180;0.029069;0.016412;3.702168;
0.012167;0.028301;0.015497;3.731270;
0.012558;0.029433;0.016365;3.759625;
0.012011;0.029042;0.016505;3.789095;
0.012085;0.028985;0.016375;3.818179;
0.012101;0.028300;0.015563;3.847206;
0.012512;0.029409;0.016406;3.875542;
0.012133;0.029057;0.016494;3.904983;
0.012204;0.029187;0.016469;3.934070;
0.012102;0.028151;0.015416;3.963294;
0.012521;0.029360;0.016347;3.991479;
0.012101;0.029058;0.016400;4.020867;
0.012160;0.029108;0.016428;4.049959;
0.012010;0.028267;0.015612;4.079105;
0.012587;0.029468;0.016386;4.107408;
0.012122;0.028938;0.016323;4.136906;
0.012183;0.028191;0.015565;4.165872;
0.012900;0.028851;0.015327;4.194092;
0.012644;0.029548;0.016410;4.222972;
0.012021;0.029096;0.016503;4.252557;
0.012164;0.027987;0.015277;4.281683;
0.012515;0.029512;0.016486;4.309699;
0.012098;0.029020;0.016414;4.339239;
0.012113;0.029024;0.016420;4.368292;
0.012255;0.028478;0.015593;4.397347;
0.012497;0.029509;0.016411;4.425853;
0.012334;0.029162;0.016232;4.455407;
0.011967;0.028943;0.016321;4.484614;
0.012071;0.028043;0.015447;4.513598;
0.012640;0.029491;0.016380;4.541689;
0.012292;0.029209;0.016403;4.571211;
0.012043;0.028961;0.016439;4.600456;
0.012286;0.028354;0.015437;4.629457;
0.012582;0.029433;0.016319;4.657862;
0.012233;0.029084;0.016348;4.687326;
0.012101;0.028486;0.015667;4.716449;
