GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.021351;0.057643;0.014683;0.000380;
0.011685;0.027288;0.014287;0.058324;
0.012401;0.024513;0.011310;0.085652;
0.011597;0.026494;0.013952;0.110230;
0.010732;0.023142;0.011769;0.136755;
0.011034;0.025024;0.013523;0.160198;
0.009156;0.020982;0.011243;0.186453;
0.009657;0.022159;0.011740;0.208316;
0.010457;0.024700;0.013516;0.230513;
0.010688;0.022624;0.011281;0.255246;
0.008793;0.022232;0.012708;0.283225;
0.010008;0.022022;0.011180;0.305506;
0.009245;0.021901;0.012189;0.327582;
0.009115;0.021637;0.012085;0.349515;
0.009064;0.020877;0.011308;0.371182;
0.009740;0.022653;0.012139;0.392120;
0.009582;0.022650;0.012294;0.414806;
0.008994;0.020912;0.011308;0.437487;
0.009787;0.022689;0.012328;0.458438;
0.009054;0.021788;0.012186;0.481155;
0.009119;0.021171;0.011344;0.502972;
0.009480;0.021185;0.011160;0.524172;
0.009497;0.022158;0.012185;0.545401;
0.009115;0.022112;0.012283;0.567592;
0.009196;0.021073;0.011363;0.589742;
0.009621;0.022802;0.012179;0.610844;
0.008927;0.022311;0.012373;0.633682;
0.009129;0.021111;0.011450;0.656032;
0.010150;0.024133;0.013301;0.677173;
0.010113;0.022204;0.011577;0.701743;
0.009638;0.021565;0.011278;0.723978;
0.009445;0.022203;0.012193;0.745575;
0.009083;0.021927;0.012273;0.767810;
0.009100;0.020963;0.011263;0.789766;
0.009496;0.022386;0.012429;0.810758;
0.009154;0.021792;0.012124;0.833172;
0.009202;0.021142;0.011382;0.855001;
0.009621;0.022474;0.012291;0.876177;
0.009098;0.021826;0.012254;0.898679;
0.009172;0.021061;0.011343;0.920533;
0.009699;0.021371;0.011172;0.941623;
0.009599;0.022396;0.012279;0.963023;
0.009141;0.020914;0.011275;0.985446;
0.009637;0.021398;0.011208;1.006393;
0.009618;0.022282;0.012185;1.027820;
0.009139;0.021839;0.012163;1.050139;
0.009087;0.020950;0.011386;1.072020;
0.009603;0.022174;0.012023;1.093004;
0.009112;0.021701;0.012157;1.115207;
0.009005;0.020830;0.011213;1.136963;
0.009569;0.021383;0.011280;1.157860;
0.009557;0.022450;0.012282;1.179271;
0.009136;0.022061;0.012343;1.201753;
0.009009;0.020904;0.011221;1.223852;
0.009499;0.022107;0.012164;1.244789;
0.009150;0.021882;0.012212;1.266927;
0.009041;0.020771;0.011143;1.288846;
0.009633;0.021534;0.011381;1.309650;
0.009664;0.022506;0.012237;1.331212;
0.009073;0.020782;0.011178;1.353767;
0.009598;0.021387;0.011308;1.374584;
0.009595;0.022330;0.012198;1.396001;
0.009116;0.022005;0.012259;1.418359;
0.009027;0.020799;0.011154;1.440401;
0.009477;0.022145;0.012157;1.461235;
