GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.014809;0.037568;0.002639;0.000369;
0.007596;0.011446;0.002763;0.038083;
0.004107;0.010135;0.005276;0.049580;
0.003664;0.007242;0.002782;0.059750;
0.002944;0.008939;0.005366;0.067023;
0.002977;0.006176;0.002680;0.075994;
0.003041;0.006142;0.002672;0.082199;
0.005222;0.008531;0.002703;0.088382;
0.002993;0.006336;0.002634;0.096943;
0.005797;0.009106;0.002776;0.103323;
0.002921;0.006095;0.002700;0.112459;
0.002984;0.009197;0.005490;0.118582;
0.002953;0.006066;0.002547;0.127812;
0.002981;0.008829;0.005291;0.133907;
0.002503;0.005638;0.002684;0.143221;
0.002688;0.005890;0.002622;0.149213;
0.003690;0.006855;0.002661;0.156202;
0.002978;0.006040;0.002672;0.163097;
0.002902;0.008299;0.004913;0.169174;
0.003017;0.006284;0.002628;0.177512;
0.002885;0.008564;0.005218;0.183830;
0.002961;0.006184;0.002655;0.192422;
0.002947;0.006060;0.002644;0.198636;
0.004920;0.008063;0.002679;0.204727;
0.002533;0.007932;0.004929;0.218221;
0.003071;0.006142;0.002603;0.226194;
0.003685;0.006748;0.002657;0.232369;
0.004593;0.007706;0.002621;0.239148;
0.003080;0.006247;0.002669;0.246881;
0.004910;0.008325;0.002760;0.253157;
0.002961;0.006076;0.002643;0.261511;
0.002954;0.008220;0.004631;0.267618;
0.003053;0.006107;0.002608;0.275866;
0.002963;0.006040;0.002638;0.282003;
0.004142;0.007235;0.002630;0.288074;
0.002945;0.006037;0.002592;0.295344;
0.002872;0.007120;0.003749;0.301409;
0.002956;0.006139;0.002634;0.308571;
0.002911;0.005969;0.002542;0.314747;
0.003464;0.006762;0.002635;0.320757;
0.002839;0.006256;0.002710;0.327555;
0.003000;0.007659;0.003887;0.333843;
0.002802;0.006156;0.002736;0.341540;
0.002975;0.006368;0.002640;0.347728;
0.003004;0.006288;0.002717;0.354126;
0.002912;0.005990;0.002577;0.360448;
0.002927;0.007760;0.004177;0.366469;
0.002968;0.006193;0.002640;0.374259;
0.002952;0.006413;0.002898;0.380482;
0.004572;0.007923;0.002741;0.386938;
0.003049;0.006309;0.002780;0.394891;
0.002902;0.007523;0.003909;0.401230;
0.003274;0.006460;0.002630;0.408784;
0.002947;0.006218;0.002657;0.415294;
0.003822;0.007014;0.002669;0.421544;
0.002939;0.006080;0.002617;0.428586;
0.002989;0.009455;0.006000;0.434693;
0.002986;0.006209;0.002639;0.444176;
0.002902;0.007943;0.004512;0.450420;
0.002898;0.006056;0.002634;0.458391;
0.002940;0.006239;0.002681;0.464475;
0.003415;0.006543;0.002685;0.470743;
0.003134;0.006326;0.002685;0.477313;
