GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.016722;0.049229;0.011858;0.000335;
0.010278;0.020079;0.008726;0.049890;
0.008187;0.017715;0.008797;0.070030;
0.007806;0.017534;0.008691;0.087774;
0.007860;0.017806;0.009072;0.105344;
0.007559;0.017023;0.008642;0.123192;
0.007382;0.016615;0.008573;0.140622;
0.006896;0.016142;0.008569;0.157654;
0.006679;0.015687;0.008510;0.174658;
0.007507;0.016623;0.008570;0.190387;
0.007477;0.016786;0.008785;0.207038;
0.007631;0.016583;0.008497;0.223855;
0.005297;0.016602;0.010745;0.246666;
0.005696;0.017129;0.010862;0.263310;
0.005687;0.016350;0.010169;0.280475;
0.006330;0.016410;0.009594;0.296862;
0.005608;0.015925;0.009580;0.313313;
0.005788;0.015809;0.009597;0.329269;
0.005585;0.015465;0.009403;0.345107;
0.005740;0.015737;0.009436;0.360610;
0.005708;0.016463;0.010281;0.376386;
0.005545;0.015088;0.008744;0.392877;
0.005970;0.014954;0.008513;0.407993;
0.006564;0.015840;0.008636;0.422976;
0.006091;0.015192;0.008603;0.438844;
0.006115;0.015411;0.008575;0.454065;
0.005818;0.015398;0.008985;0.469505;
0.006141;0.015641;0.008948;0.484934;
0.006146;0.016064;0.008772;0.500602;
0.005837;0.015096;0.008635;0.516712;
0.006957;0.015941;0.008556;0.531843;
0.005602;0.016074;0.009798;0.547812;
0.005478;0.015837;0.009665;0.563921;
0.005537;0.015765;0.009608;0.579787;
0.005779;0.016263;0.009855;0.595582;
0.005431;0.017542;0.011572;0.611882;
0.005766;0.016683;0.010387;0.629453;
0.005740;0.015887;0.009567;0.646164;
0.005723;0.016002;0.009616;0.662080;
0.005627;0.015956;0.009751;0.678112;
0.005831;0.016096;0.009677;0.694096;
0.005600;0.014933;0.008675;0.710222;
0.006197;0.015227;0.008500;0.725183;
0.006009;0.015327;0.008750;0.740438;
0.006108;0.015262;0.008596;0.755792;
0.006003;0.015200;0.008677;0.771087;
0.006270;0.015578;0.008748;0.786316;
0.006157;0.015320;0.008725;0.801921;
0.006232;0.015153;0.008532;0.817270;
0.006481;0.015550;0.008530;0.832464;
0.005543;0.015543;0.009591;0.848042;
0.005643;0.015780;0.009708;0.863617;
0.005672;0.015706;0.009511;0.879427;
0.005682;0.015737;0.009475;0.895163;
0.005661;0.015673;0.009539;0.910930;
0.005533;0.014586;0.008567;0.926642;
0.006167;0.015371;0.008767;0.941264;
0.006083;0.015238;0.008641;0.956662;
0.006200;0.015226;0.008538;0.971928;
0.006095;0.015123;0.008518;0.987185;
0.006114;0.015456;0.008752;1.002335;
0.006104;0.015181;0.008486;1.017820;
0.006791;0.016084;0.008709;1.033034;
0.005676;0.015876;0.009774;1.049148;
0.005584;0.015502;0.009492;1.065057;
0.005747;0.015764;0.009604;1.080587;
0.005585;0.015626;0.009539;1.096379;
0.005740;0.015915;0.009673;1.112036;
0.005797;0.015532;0.009318;1.127980;
0.005774;0.014915;0.008632;1.143542;
0.006096;0.015622;0.008926;1.158485;
0.006166;0.015367;0.008650;1.174138;
0.006283;0.015319;0.008533;1.189533;
0.005992;0.015165;0.008585;1.204882;
