GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.017364;0.048648;0.012489;0.000364;
0.010531;0.020917;0.009388;0.049117;
0.008310;0.018362;0.009264;0.070067;
0.008451;0.018815;0.009308;0.088458;
0.007919;0.018327;0.009486;0.107312;
0.007641;0.020342;0.011954;0.125670;
0.005458;0.017213;0.011194;0.146749;
0.005366;0.017406;0.011430;0.164746;
0.007305;0.017296;0.009228;0.182757;
0.007629;0.017350;0.008915;0.200094;
0.007289;0.016886;0.009075;0.217474;
0.008445;0.018010;0.009097;0.234390;
0.005371;0.015207;0.009145;0.257740;
0.007007;0.016753;0.009233;0.272992;
0.006473;0.016155;0.008990;0.289780;
0.006317;0.016025;0.009107;0.305964;
0.006087;0.015680;0.009020;0.322032;
0.006579;0.016288;0.009053;0.337742;
0.006193;0.015756;0.008968;0.354061;
0.006312;0.016066;0.009124;0.369846;
0.006273;0.015649;0.008884;0.385959;
0.006707;0.016541;0.009160;0.401637;
0.006239;0.016033;0.009010;0.418208;
0.006290;0.015855;0.008985;0.434270;
0.006258;0.016101;0.009210;0.450153;
0.006311;0.015986;0.009138;0.466283;
0.007463;0.017120;0.009113;0.482298;
0.006061;0.015772;0.009214;0.499448;
0.007539;0.017044;0.009026;0.515249;
0.007524;0.017438;0.009051;0.532322;
0.006141;0.015655;0.009037;0.549800;
0.007770;0.017040;0.008872;0.565545;
0.008110;0.017959;0.009171;0.582615;
0.006424;0.016350;0.009175;0.600610;
0.006252;0.016042;0.009131;0.616996;
0.006414;0.015826;0.008875;0.633072;
0.005856;0.018548;0.012159;0.648928;
0.007064;0.016565;0.008908;0.667504;
0.006437;0.015844;0.008914;0.684098;
0.006248;0.015842;0.009050;0.699970;
0.007437;0.017072;0.009065;0.715843;
0.006157;0.015723;0.009102;0.732945;
0.006676;0.016360;0.009177;0.748697;
0.006487;0.016874;0.009811;0.765086;
0.006878;0.016390;0.008909;0.781989;
0.005886;0.016202;0.009831;0.798407;
0.005942;0.016486;0.010004;0.814638;
0.005875;0.016508;0.010092;0.831156;
0.005868;0.016242;0.009880;0.847693;
0.005892;0.016234;0.009857;0.863989;
0.005864;0.016338;0.009950;0.880252;
0.005801;0.016352;0.009989;0.896620;
0.005744;0.016093;0.009857;0.913004;
0.005822;0.016211;0.009913;0.929125;
0.005812;0.016272;0.009985;0.945365;
0.005821;0.016221;0.009864;0.961666;
0.005870;0.016446;0.010122;0.977920;
0.005816;0.016317;0.009999;0.994395;
0.005947;0.016472;0.009917;1.010740;
0.005760;0.016400;0.010103;1.027246;
0.005996;0.016498;0.010000;1.043674;
0.005935;0.016204;0.009789;1.060202;
0.005991;0.015811;0.009280;1.076437;
0.006496;0.016135;0.008926;1.092276;
0.005984;0.015819;0.009176;1.108445;
0.006270;0.015979;0.009079;1.124292;
0.006345;0.015931;0.009008;1.140308;
0.006257;0.015985;0.009165;1.156272;
0.006477;0.016071;0.009063;1.172288;
0.006381;0.015959;0.008981;1.188387;
0.006211;0.015817;0.009096;1.204375;
0.006362;0.015942;0.009015;1.220220;
0.006293;0.015773;0.008922;1.236190;
0.006254;0.015683;0.008925;1.252000;
0.006397;0.016137;0.009177;1.267710;
0.006814;0.016575;0.009152;1.283880;
0.007446;0.017117;0.009213;1.300483;
0.006567;0.016054;0.008953;1.317627;
0.007437;0.016834;0.008849;1.333716;
0.007394;0.017078;0.009186;1.350579;
0.006262;0.015775;0.009056;1.367685;
0.007510;0.016850;0.008865;1.383487;
