GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.015077;0.045041;0.009752;0.000307;
0.009195;0.016815;0.006457;0.045582;
0.007277;0.014558;0.006603;0.062436;
0.005446;0.015522;0.009306;0.077055;
0.004673;0.015042;0.009561;0.092610;
0.004640;0.014417;0.008992;0.107708;
0.004632;0.012154;0.006695;0.122155;
0.005501;0.012972;0.006498;0.135397;
0.005111;0.012027;0.006451;0.149388;
0.006413;0.013477;0.006542;0.162367;
0.004528;0.014112;0.008836;0.175884;
0.004697;0.012624;0.007442;0.190032;
0.006788;0.013981;0.006557;0.202683;
0.004303;0.011574;0.006581;0.222395;
0.005965;0.013040;0.006556;0.234024;
0.006861;0.014088;0.006600;0.247098;
0.004572;0.013527;0.008475;0.261215;
0.004509;0.013214;0.008194;0.274770;
0.004551;0.011773;0.006661;0.288016;
0.005318;0.012525;0.006735;0.299817;
0.004677;0.011832;0.006649;0.312442;
0.004699;0.012895;0.007415;0.324320;
0.004332;0.011699;0.006686;0.337252;
0.004902;0.012090;0.006654;0.348980;
0.005990;0.013128;0.006649;0.361108;
0.004513;0.012709;0.007785;0.374272;
0.004704;0.011765;0.006465;0.387010;
0.005413;0.012483;0.006647;0.398805;
0.005699;0.012804;0.006592;0.411319;
0.004563;0.012985;0.007942;0.424160;
0.004595;0.012073;0.007035;0.437186;
0.005186;0.012454;0.006750;0.449294;
0.006322;0.013481;0.006679;0.461776;
0.004508;0.013172;0.007543;0.475294;
0.004674;0.012583;0.007168;0.488506;
0.004925;0.011991;0.006524;0.501120;
0.005436;0.012563;0.006547;0.513140;
0.004460;0.012628;0.007544;0.525737;
0.004574;0.011567;0.006554;0.538396;
0.005479;0.012927;0.006789;0.549992;
0.005056;0.012428;0.006724;0.562949;
0.004895;0.013387;0.007804;0.575407;
0.004582;0.011943;0.006670;0.588825;
0.005573;0.012929;0.006753;0.600798;
0.005593;0.012452;0.006466;0.613757;
0.004480;0.012571;0.007653;0.626237;
0.004791;0.011775;0.006466;0.638837;
0.004996;0.012133;0.006490;0.650640;
0.005143;0.012072;0.006543;0.662808;
0.004458;0.012346;0.007503;0.674919;
0.004780;0.012268;0.006541;0.687294;
0.004687;0.012062;0.006641;0.699603;
0.005365;0.013458;0.007250;0.711701;
0.004808;0.013013;0.007598;0.725195;
0.004636;0.011831;0.006660;0.738237;
0.005112;0.012172;0.006578;0.750097;
0.006221;0.013268;0.006637;0.762306;
0.004593;0.012578;0.007456;0.775606;
0.004626;0.011588;0.006466;0.788213;
0.005087;0.012212;0.006721;0.799833;
0.005646;0.012952;0.006895;0.812075;
0.004514;0.012537;0.007484;0.825056;
0.004537;0.011483;0.006534;0.837622;
0.005124;0.012198;0.006673;0.849135;
0.004613;0.012707;0.007606;0.861367;
0.004515;0.011697;0.006680;0.874110;
