GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.012027;0.040578;0.006559;0.000178;
0.007833;0.013825;0.004659;0.041487;
0.004498;0.012423;0.007176;0.055353;
0.004140;0.009721;0.004566;0.067824;
0.005132;0.010719;0.004886;0.077575;
0.003411;0.010841;0.006736;0.088323;
0.003370;0.008472;0.004422;0.099228;
0.006129;0.011077;0.004469;0.107741;
0.003323;0.008517;0.004497;0.118845;
0.005389;0.010454;0.004442;0.127393;
0.003403;0.008558;0.004522;0.137874;
0.005954;0.010987;0.004491;0.147176;
0.005236;0.010437;0.004477;0.159232;
0.003048;0.008150;0.004516;0.170159;
0.005560;0.010727;0.004538;0.178349;
0.003199;0.010926;0.007166;0.189122;
0.003274;0.008182;0.004403;0.200107;
0.006390;0.011505;0.004484;0.208325;
0.004741;0.009695;0.004430;0.225163;
0.003301;0.008192;0.004483;0.234893;
0.004943;0.009857;0.004471;0.243113;
0.003311;0.008278;0.004452;0.253000;
0.004900;0.009958;0.004608;0.261318;
0.003297;0.009726;0.006000;0.271305;
0.003383;0.008309;0.004496;0.281058;
0.003304;0.009248;0.005428;0.289394;
0.003311;0.008597;0.004883;0.298682;
0.004880;0.009829;0.004500;0.307307;
0.003341;0.008354;0.004492;0.317171;
0.003835;0.008764;0.004476;0.325555;
0.003333;0.008257;0.004422;0.334348;
0.003845;0.008816;0.004480;0.342632;
0.003382;0.008249;0.004474;0.351476;
0.003985;0.009018;0.004526;0.359754;
0.003385;0.008234;0.004422;0.368799;
0.004162;0.009148;0.004530;0.377061;
0.003372;0.008443;0.004485;0.386251;
0.003838;0.008872;0.004500;0.394722;
0.003338;0.008225;0.004473;0.403623;
0.004155;0.009077;0.004433;0.411878;
0.003438;0.008990;0.005102;0.420981;
0.003572;0.008961;0.004464;0.429999;
0.002978;0.008945;0.005419;0.438990;
0.003297;0.008178;0.004428;0.447963;
0.003368;0.009557;0.005442;0.456169;
0.003460;0.008816;0.004611;0.465760;
0.004527;0.009740;0.004669;0.474626;
0.003303;0.008226;0.004406;0.484413;
0.003850;0.009193;0.004466;0.492667;
0.003136;0.008259;0.004443;0.501909;
0.003853;0.008847;0.004445;0.510200;
0.003325;0.008461;0.004463;0.519083;
0.003803;0.009252;0.004574;0.527579;
0.003354;0.008709;0.004558;0.536862;
0.004011;0.009044;0.004527;0.545606;
0.003342;0.008177;0.004418;0.554678;
0.004525;0.009498;0.004483;0.562883;
0.003367;0.010326;0.006354;0.572409;
0.003368;0.008259;0.004426;0.582768;
0.004481;0.009904;0.004798;0.591056;
0.003413;0.008519;0.004454;0.600989;
0.003707;0.008712;0.004411;0.609537;
0.003423;0.008570;0.004491;0.618277;
0.003796;0.008937;0.004601;0.626878;
0.003369;0.008490;0.004542;0.635846;
0.003844;0.009007;0.004536;0.644366;
0.003301;0.008411;0.004587;0.653418;
0.003819;0.008683;0.004406;0.661859;
0.003331;0.008333;0.004533;0.670570;
0.003924;0.008845;0.004430;0.678931;
0.003467;0.008473;0.004465;0.687805;
0.003774;0.008803;0.004501;0.696307;
0.003383;0.008973;0.005146;0.705145;
0.003332;0.008217;0.004413;0.714174;
0.003366;0.009267;0.005442;0.722420;
0.003309;0.008205;0.004476;0.731717;
0.003360;0.009234;0.005441;0.739951;
0.003264;0.008218;0.004410;0.749218;
0.003397;0.009301;0.005423;0.757465;
0.003331;0.008283;0.004487;0.766793;
0.004801;0.009659;0.004432;0.775153;
0.003419;0.008408;0.004430;0.784840;
0.003878;0.009131;0.004693;0.793294;
0.003299;0.008316;0.004504;0.802453;
0.003872;0.008910;0.004566;0.810796;
0.003350;0.008234;0.004451;0.819734;
0.003986;0.008951;0.004528;0.827995;
0.003320;0.008191;0.004433;0.836973;
0.003983;0.008814;0.004437;0.845192;
0.003401;0.008366;0.004418;0.854033;
0.003834;0.008826;0.004532;0.862426;
0.003286;0.008212;0.004441;0.871285;
0.003912;0.008862;0.004464;0.879524;
0.003282;0.008374;0.004480;0.888417;
0.003793;0.008782;0.004461;0.896821;
0.003318;0.009173;0.005347;0.905631;
0.003353;0.008228;0.004452;0.914831;
0.003343;0.009265;0.005398;0.923086;
0.003350;0.008257;0.004525;0.932380;
0.003319;0.009235;0.005438;0.940666;
0.003430;0.008283;0.004427;0.949928;
0.004291;0.009315;0.004464;0.958240;
0.003353;0.008247;0.004492;0.967586;
0.004388;0.009328;0.004403;0.975864;
0.003335;0.008201;0.004431;0.985221;
0.003866;0.008824;0.004436;0.993450;
0.003350;0.008321;0.004436;1.002302;
0.003818;0.008887;0.004445;1.010650;
0.004291;0.009309;0.004504;1.019580;
0.003814;0.008776;0.004498;1.028928;
0.003313;0.008167;0.004442;1.037732;
0.003891;0.008842;0.004495;1.045926;
0.003329;0.008198;0.004458;1.054812;
0.003920;0.008788;0.004448;1.063037;
0.003337;0.008353;0.004471;1.071852;
0.003827;0.008850;0.004591;1.080238;
0.003307;0.009271;0.005465;1.089128;
0.003311;0.008180;0.004386;1.098429;
0.003322;0.009203;0.005432;1.106639;
0.003341;0.008263;0.004518;1.115868;
0.003354;0.009274;0.005421;1.124164;
0.003380;0.008635;0.004835;1.133467;
0.004206;0.009239;0.004512;1.142129;
0.003376;0.008291;0.004474;1.151396;
0.003726;0.008647;0.004441;1.159715;
0.003369;0.008175;0.004389;1.168391;
0.003945;0.008888;0.004424;1.176595;
0.003358;0.008373;0.004544;1.185526;
0.003832;0.008978;0.004493;1.193928;
0.003435;0.008384;0.004455;1.202936;
0.003868;0.008992;0.004582;1.211348;
0.003352;0.008333;0.004445;1.220369;
0.003791;0.008758;0.004449;1.228730;
0.003338;0.008292;0.004449;1.237515;
0.003823;0.008878;0.004439;1.245835;
0.003353;0.008297;0.004460;1.254741;
0.003864;0.008789;0.004457;1.263065;
0.003345;0.008185;0.004461;1.271882;
0.003951;0.008934;0.004568;1.280095;
0.003352;0.008172;0.004434;1.289056;
0.003906;0.008947;0.004504;1.297275;
0.003274;0.009503;0.005771;1.306270;
0.003340;0.008348;0.004485;1.315822;
0.003391;0.009245;0.005368;1.324198;
0.003329;0.008258;0.004452;1.333471;
0.003354;0.009206;0.005389;1.341757;
0.003292;0.008226;0.004432;1.350992;
0.004896;0.009759;0.004443;1.359253;
0.003306;0.008271;0.004494;1.369040;
0.003967;0.008846;0.004427;1.377341;
0.003382;0.008390;0.004423;1.386218;
0.003954;0.008898;0.004421;1.394640;
0.003305;0.008185;0.004435;1.403566;
0.003968;0.008942;0.004467;1.411777;
0.003312;0.008245;0.004471;1.420747;
0.003894;0.008865;0.004532;1.429019;
0.003302;0.008151;0.004442;1.437912;
0.004019;0.009162;0.004552;1.446091;
0.003206;0.008177;0.004384;1.455286;
0.003866;0.008759;0.004432;1.463508;
0.003306;0.008336;0.004467;1.472302;
0.003877;0.009054;0.004585;1.480669;
0.003313;0.009311;0.005478;1.489751;
0.003381;0.008368;0.004448;1.499089;
0.003341;0.011224;0.007265;1.507484;
0.003357;0.008267;0.004472;1.518737;
0.003765;0.008845;0.004469;1.527032;
0.003407;0.008268;0.004386;1.535908;
0.003850;0.008792;0.004502;1.544212;
0.003410;0.008363;0.004417;1.553033;
0.003797;0.008890;0.004552;1.561423;
0.003355;0.008382;0.004460;1.570342;
0.003803;0.008805;0.004504;1.578751;
0.003385;0.008302;0.004472;1.587583;
0.003909;0.008806;0.004430;1.595914;
0.003344;0.008203;0.004452;1.604764;
0.004002;0.008990;0.004469;1.612994;
0.003409;0.008467;0.004427;1.622016;
0.003726;0.008657;0.004449;1.630511;
0.003436;0.008435;0.004448;1.639198;
0.003767;0.008722;0.004493;1.647664;
0.003379;0.008317;0.004440;1.656414;
0.003837;0.008888;0.004511;1.664758;
0.003385;0.009219;0.005375;1.673680;
0.003294;0.008199;0.004474;1.682927;
0.003359;0.009154;0.005367;1.691154;
0.003357;0.008286;0.004440;1.700336;
0.003386;0.009246;0.005397;1.708649;
0.003326;0.008452;0.004460;1.717925;
0.004174;0.009094;0.004442;1.726404;
0.003281;0.008318;0.004530;1.735543;
0.004834;0.009710;0.004418;1.743890;
0.003366;0.008274;0.004495;1.753629;
0.003989;0.008928;0.004441;1.761932;
0.003338;0.008255;0.004492;1.770886;
0.003968;0.008972;0.004546;1.779169;
0.003382;0.008261;0.004445;1.788177;
0.003956;0.008941;0.004446;1.796475;
0.003324;0.008212;0.004423;1.805444;
0.003974;0.008989;0.004534;1.813683;
0.003334;0.008422;0.004537;1.822700;
0.003815;0.008686;0.004445;1.831150;
0.003319;0.008334;0.004466;1.839864;
0.003827;0.008732;0.004448;1.848230;
0.003388;0.009406;0.005472;1.856988;
0.003300;0.008348;0.004385;1.866422;
0.003281;0.009195;0.005469;1.874800;
0.003343;0.008319;0.004489;1.884022;
0.003309;0.009165;0.005383;1.892368;
0.003381;0.008333;0.004522;1.901561;
0.004332;0.009330;0.004510;1.909921;
0.003392;0.008295;0.004433;1.919282;
0.004570;0.009558;0.004525;1.927604;
0.003453;0.008556;0.004479;1.937197;
0.003702;0.008774;0.004480;1.945782;
0.003383;0.008296;0.004422;1.954584;
0.003825;0.008802;0.004480;1.962908;
0.003391;0.008459;0.004559;1.971737;
0.003786;0.008731;0.004464;1.980226;
0.003348;0.008186;0.004431;1.988985;
